Product_ID,Product_Type,Material,Color,Sales_Data,Return_Rate,Production_Data,Season,Gender,Season_Demand_Spike,Date,Age,Customer_Feedback
P0058,T-Shirt,Polyester,White,107,0.28,141,Summer,Male,1.37,2023-08-17,15,Zipper broke after one use.
P0280,T-Shirt,Spandex,Yellow,25,0.07,119,Winter,Male,1.23,2023-02-02,7,The fabric is soft and comfortable.
P0259,Leggings,Cotton,White,104,0.07,254,Fall,Unisex,1.01,2024-10-27,4,The fabric is soft and comfortable.
P0230,Leggings,Polyester,Red,348,0.29,405,Summer,Unisex,1.0,2023-06-13,14,Feels breathable and light.
P0080,Jacket,Polyester,Blue,281,0.22,358,Spring,Female,1.26,2023-04-05,14,My kid loves wearing this every day.
P0177,Leggings,Polyester,Red,349,0.12,427,Spring,Unisex,1.2,2024-04-15,14,The color is vibrant and attractive.
P0041,Leggings,Polyester,Pink,192,0.14,386,Summer,Male,1.31,2024-08-14,14,The stitching quality could be better.
P0117,Dress,Polyester,Blue,59,0.34,209,Summer,Male,1.43,2023-08-27,9,The color is vibrant and attractive.
P0187,Jacket,Polyester,Pink,25,0.17,62,Summer,Unisex,1.47,2023-08-03,14,Excellent stitching and finish.
P0037,Leggings,Fleece,White,18,0.29,46,Summer,Female,1.01,2023-06-17,4,Excellent stitching and finish.
P0286,Jacket,Polyester,Red,344,0.1,535,Summer,Male,1.25,2023-08-23,5,Size runs smaller than expected.
P0138,T-Shirt,Fleece,Pink,210,0.15,279,Summer,Unisex,1.33,2023-08-06,4,Excellent stitching and finish.
P0235,Jacket,Polyester,Green,58,0.2,131,Fall,Unisex,1.02,2023-09-10,4,Average quality for the price.
P0300,Sweatpants,Spandex,Yellow,222,0.17,255,Winter,Male,1.36,2024-01-06,10,Great color but the stitching could be better.
P0261,Sweatpants,Cotton,Red,219,0.19,278,Spring,Male,1.42,2023-04-23,15,Decent but could be better.
P0217,Leggings,Cotton,Yellow,342,0.2,385,Winter,Unisex,1.18,2024-01-26,14,Nice design but size mismatch was an issue.
P0129,Leggings,Cotton,Blue,192,0.2,252,Fall,Unisex,1.15,2024-11-29,15,Zipper broke after one use.
P0175,T-Shirt,Polyester,Yellow,69,0.03,97,Summer,Female,1.39,2023-06-11,14,Excellent stitching and finish.
P0135,Leggings,Fleece,Blue,140,0.02,298,Fall,Female,1.1,2024-10-02,10,Fabric feels rough and uncomfortable.
P0102,Jacket,Polyester,Green,167,0.28,309,Summer,Unisex,1.04,2024-07-06,9,Nice design but size mismatch was an issue.
P0166,Sweatpants,Cotton,Blue,45,0.32,136,Winter,Female,1.22,2024-01-07,3,The fabric is soft and comfortable.
P0291,T-Shirt,Cotton,Grey,52,0.14,133,Spring,Unisex,1.16,2023-03-12,5,The product arrived damaged.
P0244,Leggings,Fleece,Black,176,0.23,230,Summer,Unisex,1.24,2024-06-24,7,The fabric is soft and comfortable.
P0277,Dress,Fleece,Black,189,0.27,350,Winter,Unisex,1.25,2024-02-13,11,Average quality for the price.
P0265,Sweatpants,Cotton,White,274,0.16,335,Summer,Male,1.22,2023-08-19,5,Perfect fit and great quality.
P0284,Jacket,Spandex,White,67,0.32,138,Winter,Male,1.28,2023-01-08,6,The stitching quality could be better.
P0118,T-Shirt,Cotton,Pink,226,0.07,388,Spring,Unisex,1.38,2023-03-14,6,Excellent stitching and finish.
P0249,Jacket,Spandex,Green,22,0.05,127,Summer,Unisex,1.44,2024-08-07,12,My kid loves wearing this every day.
P0243,Dress,Wool,White,49,0.12,202,Spring,Male,1.23,2023-04-07,14,Average quality for the price.
P0217,Sweatpants,Wool,Red,48,0.16,142,Fall,Unisex,1.16,2024-11-20,9,Great color but the stitching could be better.
P0032,Sweatpants,Polyester,Blue,235,0.32,383,Fall,Male,1.11,2023-09-12,11,The color is vibrant and attractive.
P0072,Sweatpants,Fleece,Black,120,0.14,142,Spring,Male,1.0,2024-04-18,10,The stitching quality could be better.
P0227,Dress,Spandex,Blue,141,0.18,211,Winter,Unisex,1.13,2023-02-21,10,Great color but the stitching could be better.
P0048,Dress,Fleece,Green,446,0.13,561,Winter,Female,1.28,2024-02-21,6,My kid loves wearing this every day.
P0206,T-Shirt,Fleece,Yellow,163,0.04,234,Winter,Female,1.12,2023-01-03,9,My kid loves wearing this every day.
P0233,Hoodie,Wool,Grey,117,0.07,217,Summer,Male,1.13,2023-06-08,4,Loved the design and comfort.
P0297,Shorts,Spandex,Red,134,0.16,240,Fall,Male,1.14,2023-11-18,3,The color is vibrant and attractive.
P0258,Dress,Spandex,Green,130,0.07,321,Winter,Unisex,1.22,2023-02-28,8,The fabric is soft and comfortable.
P0036,Leggings,Cotton,White,251,0.24,393,Winter,Male,1.12,2024-02-18,8,Nice design but size mismatch was an issue.
P0127,Leggings,Spandex,Red,284,0.18,401,Fall,Male,1.32,2024-09-26,13,Perfect fit and great quality.
P0290,Leggings,Polyester,Black,244,0.28,387,Summer,Unisex,1.25,2023-07-29,15,The product arrived damaged.
P0136,Sweatpants,Fleece,Black,263,0.21,446,Spring,Female,1.01,2024-04-13,5,Great color but the stitching could be better.
P0005,Sweatpants,Spandex,Blue,151,0.14,222,Spring,Unisex,1.47,2023-03-17,10,Feels breathable and light.
P0068,Hoodie,Cotton,White,132,0.19,255,Winter,Female,1.07,2024-01-14,14,My kid loves wearing this every day.
P0279,Shorts,Polyester,Red,155,0.2,216,Fall,Unisex,1.13,2024-11-14,14,Excellent stitching and finish.
P0054,Jacket,Polyester,Blue,148,0.29,227,Spring,Unisex,1.13,2023-04-20,3,Average quality for the price.
P0145,Leggings,Fleece,Pink,308,0.34,364,Summer,Unisex,1.44,2023-07-28,9,Average quality for the price.
P0259,Sweatpants,Polyester,Red,13,0.11,179,Spring,Unisex,1.36,2023-04-05,5,Feels breathable and light.
P0023,T-Shirt,Polyester,Green,156,0.15,336,Fall,Female,1.32,2024-10-14,13,The color is vibrant and attractive.
P0283,Shorts,Wool,Red,117,0.07,302,Spring,Male,1.33,2023-04-25,5,Nice design but size mismatch was an issue.
P0077,Leggings,Cotton,Pink,150,0.05,268,Summer,Unisex,1.49,2024-08-19,4,The fabric is soft and comfortable.
P0022,Hoodie,Polyester,Red,342,0.18,524,Winter,Male,1.33,2024-01-02,11,Decent but could be better.
P0053,Hoodie,Spandex,Yellow,165,0.03,326,Fall,Unisex,1.16,2024-09-27,6,The fabric is soft and comfortable.
P0084,Dress,Fleece,Yellow,194,0.26,341,Winter,Male,1.28,2023-01-26,14,Color fades after a few washes.
P0211,Dress,Fleece,Black,26,0.1,83,Summer,Unisex,1.49,2023-06-13,5,My kid loves wearing this every day.
P0020,Dress,Wool,White,268,0.23,308,Summer,Female,1.25,2023-07-24,14,My kid loves wearing this every day.
P0117,Jacket,Cotton,White,321,0.18,344,Winter,Female,1.01,2024-02-13,3,Loved the design and comfort.
P0143,Hoodie,Spandex,Yellow,21,0.35,198,Fall,Unisex,1.48,2024-11-26,7,Loved the design and comfort.
P0060,Hoodie,Fleece,Black,14,0.14,70,Winter,Male,1.46,2023-02-09,3,Average quality for the price.
P0161,Sweatpants,Spandex,Blue,306,0.34,424,Winter,Unisex,1.49,2024-01-30,6,Loved the design and comfort.
P0224,T-Shirt,Spandex,White,195,0.12,374,Winter,Female,1.43,2024-01-08,5,Excellent stitching and finish.
P0170,Leggings,Polyester,Blue,132,0.14,205,Fall,Unisex,1.35,2023-11-04,10,The color is vibrant and attractive.
P0168,Sweatpants,Polyester,Green,178,0.05,229,Summer,Female,1.34,2023-07-16,9,Average quality for the price.
P0090,Leggings,Spandex,Black,131,0.19,280,Winter,Unisex,1.16,2024-02-20,10,Color fades after a few washes.
P0147,Jacket,Wool,Pink,303,0.25,361,Spring,Female,1.15,2024-04-21,9,The fabric is soft and comfortable.
P0262,Sweatpants,Fleece,Blue,30,0.29,202,Fall,Unisex,1.31,2023-10-18,14,Decent but could be better.
P0172,T-Shirt,Fleece,Black,317,0.23,356,Summer,Male,1.32,2023-08-19,14,Loved the design and comfort.
P0126,Sweatpants,Spandex,Blue,147,0.14,232,Spring,Female,1.22,2024-04-11,8,Fabric feels rough and uncomfortable.
P0100,Shorts,Wool,Grey,77,0.17,159,Winter,Male,1.49,2024-02-14,8,Excellent stitching and finish.
P0003,Dress,Cotton,Yellow,413,0.3,481,Summer,Male,1.02,2023-08-13,8,Zipper broke after one use.
P0266,Sweatpants,Cotton,White,275,0.14,395,Spring,Female,1.26,2023-05-05,7,The color is vibrant and attractive.
P0272,Leggings,Spandex,Pink,64,0.09,88,Spring,Unisex,1.23,2024-03-29,8,Fabric feels rough and uncomfortable.
P0219,Dress,Spandex,Grey,66,0.25,253,Summer,Unisex,1.36,2023-06-12,15,Size runs smaller than expected.
P0133,Dress,Fleece,Black,128,0.26,294,Summer,Female,1.4,2024-06-17,5,Average quality for the price.
P0226,T-Shirt,Polyester,White,96,0.27,205,Fall,Female,1.01,2023-10-06,7,Perfect fit and great quality.
P0042,Jacket,Fleece,White,450,0.3,606,Winter,Unisex,1.34,2024-01-28,3,The fabric is soft and comfortable.
P0033,Sweatpants,Wool,Pink,62,0.32,115,Summer,Female,1.12,2024-07-09,8,The fabric is soft and comfortable.
P0216,Sweatpants,Spandex,Red,67,0.08,203,Summer,Female,1.32,2024-08-12,15,Feels breathable and light.
P0153,Dress,Wool,Yellow,196,0.2,237,Summer,Unisex,1.37,2024-07-05,5,Fabric feels rough and uncomfortable.
P0113,Sweatpants,Fleece,Black,80,0.21,278,Spring,Female,1.38,2024-03-22,11,Feels breathable and light.
P0208,Shorts,Fleece,Grey,289,0.06,377,Spring,Unisex,1.05,2023-05-11,6,The color is vibrant and attractive.
P0289,Shorts,Cotton,Blue,208,0.03,403,Fall,Female,1.4,2024-10-20,6,The color is vibrant and attractive.
P0094,T-Shirt,Polyester,Yellow,293,0.17,413,Winter,Male,1.2,2023-12-02,12,Feels breathable and light.
P0195,Hoodie,Wool,Black,250,0.23,303,Spring,Female,1.13,2023-03-25,12,Perfect fit and great quality.
P0027,Hoodie,Fleece,Blue,254,0.33,369,Fall,Male,1.43,2024-10-29,7,The product arrived damaged.
P0103,Dress,Cotton,Green,8,0.22,107,Fall,Male,1.32,2023-09-02,3,Loved the design and comfort.
P0289,Jacket,Wool,Black,229,0.33,400,Winter,Male,1.34,2024-01-13,5,Decent but could be better.
P0059,Dress,Fleece,Black,37,0.17,235,Spring,Unisex,1.41,2023-04-21,14,Feels breathable and light.
P0295,Shorts,Wool,Yellow,327,0.29,514,Summer,Male,1.45,2023-07-23,14,Decent but could be better.
P0125,T-Shirt,Polyester,Blue,289,0.04,403,Summer,Male,1.19,2024-08-02,15,The color is vibrant and attractive.
P0190,T-Shirt,Spandex,Pink,246,0.25,346,Winter,Female,1.33,2023-01-13,15,The stitching quality could be better.
P0222,Hoodie,Wool,Green,94,0.13,228,Spring,Male,1.14,2024-03-21,6,Zipper broke after one use.
P0139,Leggings,Spandex,Grey,318,0.25,412,Spring,Female,1.44,2024-04-21,6,Fabric feels rough and uncomfortable.
P0138,Hoodie,Fleece,Blue,221,0.29,404,Fall,Female,1.09,2023-10-13,11,The color is vibrant and attractive.
P0292,Leggings,Wool,Pink,274,0.21,392,Winter,Female,1.21,2023-01-30,4,The product arrived damaged.
P0250,Jacket,Polyester,Black,100,0.13,156,Winter,Female,1.12,2023-12-15,9,Zipper broke after one use.
P0142,Leggings,Cotton,White,17,0.26,135,Spring,Male,1.05,2023-03-29,3,Size runs smaller than expected.
P0285,Dress,Fleece,Grey,66,0.18,171,Fall,Unisex,1.15,2024-10-23,5,My kid loves wearing this every day.
P0009,T-Shirt,Polyester,White,181,0.04,347,Winter,Unisex,1.05,2024-02-19,9,Excellent stitching and finish.
P0298,Hoodie,Wool,Pink,288,0.33,435,Spring,Unisex,1.24,2024-03-11,12,Average quality for the price.
P0233,Hoodie,Polyester,Black,148,0.17,266,Summer,Male,1.3,2023-08-25,6,Color fades after a few washes.
P0062,Shorts,Spandex,Green,74,0.28,150,Summer,Male,1.06,2023-07-16,7,Color fades after a few washes.
P0269,Leggings,Polyester,Blue,46,0.34,207,Summer,Female,1.27,2023-07-18,7,The fabric is soft and comfortable.
P0155,T-Shirt,Spandex,Green,167,0.31,261,Fall,Male,1.06,2023-10-08,14,Nice design but size mismatch was an issue.
P0150,Shorts,Fleece,Grey,13,0.27,177,Spring,Male,1.05,2023-04-16,9,Average quality for the price.
P0246,Sweatpants,Polyester,Green,178,0.25,367,Winter,Female,1.2,2023-02-22,13,"Comfortable fabric, however the color fades quickly."
P0059,Dress,Cotton,Yellow,126,0.07,174,Spring,Male,1.04,2024-05-18,5,Decent but could be better.
P0028,Jacket,Fleece,Black,140,0.14,224,Spring,Male,1.44,2023-03-29,3,My kid loves wearing this every day.
P0214,Leggings,Spandex,White,430,0.35,581,Summer,Female,1.18,2024-06-19,14,The color is vibrant and attractive.
P0153,Dress,Spandex,Yellow,279,0.28,465,Fall,Unisex,1.21,2023-11-09,12,Decent but could be better.
P0051,Dress,Fleece,White,23,0.06,215,Fall,Unisex,1.01,2023-09-28,14,The fabric is soft and comfortable.
P0089,Leggings,Cotton,Green,130,0.04,210,Winter,Female,1.41,2023-01-03,9,Perfect fit and great quality.
P0241,Hoodie,Cotton,White,5,0.24,116,Fall,Unisex,1.48,2023-10-23,14,My kid loves wearing this every day.
P0233,T-Shirt,Fleece,Black,316,0.19,452,Fall,Unisex,1.48,2024-10-02,14,"It's okay, nothing special."
P0218,T-Shirt,Spandex,White,177,0.34,257,Fall,Male,1.16,2024-10-25,8,Great color but the stitching could be better.
P0037,T-Shirt,Fleece,Black,217,0.35,400,Fall,Unisex,1.28,2024-09-01,6,Color fades after a few washes.
P0225,T-Shirt,Wool,Black,71,0.23,104,Winter,Female,1.15,2024-12-17,3,Nice design but size mismatch was an issue.
P0277,Sweatpants,Wool,Blue,58,0.21,221,Fall,Male,1.37,2024-09-04,13,Zipper broke after one use.
P0166,Leggings,Polyester,Red,16,0.34,51,Spring,Male,1.45,2023-04-04,14,Nice design but size mismatch was an issue.
P0011,Dress,Polyester,Red,160,0.13,301,Summer,Female,1.09,2023-06-29,12,The color is vibrant and attractive.
P0143,Jacket,Spandex,Yellow,140,0.14,337,Fall,Female,1.13,2024-10-12,7,"Comfortable fabric, however the color fades quickly."
P0179,Sweatpants,Polyester,Pink,45,0.11,219,Fall,Male,1.35,2024-11-17,3,Color fades after a few washes.
P0211,Shorts,Wool,Black,205,0.12,381,Fall,Female,1.07,2024-11-09,5,Fabric feels rough and uncomfortable.
P0019,Sweatpants,Cotton,Pink,257,0.33,391,Fall,Female,1.36,2023-09-16,11,My kid loves wearing this every day.
P0207,Dress,Spandex,Red,14,0.33,142,Fall,Unisex,1.08,2024-11-04,10,Loved the design and comfort.
P0097,Leggings,Polyester,Grey,293,0.28,458,Fall,Female,1.49,2024-10-02,3,The product arrived damaged.
P0137,Leggings,Fleece,Black,271,0.22,353,Spring,Unisex,1.2,2024-03-24,13,Loved the design and comfort.
P0123,Shorts,Fleece,Black,287,0.21,467,Summer,Male,1.23,2024-07-18,5,"It's okay, nothing special."
P0116,Dress,Cotton,Grey,315,0.31,429,Spring,Unisex,1.37,2023-05-01,5,Size runs smaller than expected.
P0150,Leggings,Polyester,Yellow,27,0.27,211,Spring,Female,1.38,2024-05-09,5,Perfect fit and great quality.
P0075,Sweatpants,Fleece,Green,149,0.1,278,Spring,Female,1.13,2023-03-13,15,Size runs smaller than expected.
P0175,Dress,Spandex,Black,209,0.09,341,Winter,Female,1.38,2023-01-03,4,Fabric feels rough and uncomfortable.
P0297,Shorts,Wool,Green,99,0.06,272,Spring,Unisex,1.25,2024-04-02,8,Feels breathable and light.
P0283,Dress,Spandex,Yellow,122,0.29,191,Spring,Female,1.43,2024-04-11,8,Zipper broke after one use.
P0123,Leggings,Wool,White,336,0.21,412,Winter,Male,1.29,2024-02-25,9,The color is vibrant and attractive.
P0196,Sweatpants,Fleece,Grey,295,0.28,456,Winter,Male,1.35,2023-02-07,5,Perfect fit and great quality.
P0170,Dress,Cotton,Grey,107,0.07,164,Spring,Unisex,1.3,2023-04-13,4,Great color but the stitching could be better.
P0074,Sweatpants,Fleece,Blue,290,0.2,488,Spring,Female,1.45,2024-04-25,6,Excellent stitching and finish.
P0204,Shorts,Cotton,Pink,253,0.19,351,Fall,Unisex,1.2,2024-11-21,9,Feels breathable and light.
P0250,Dress,Spandex,Red,110,0.3,262,Fall,Male,1.4,2024-09-24,12,Excellent stitching and finish.
P0148,Jacket,Cotton,Yellow,188,0.3,224,Spring,Unisex,1.13,2023-04-11,10,The stitching quality could be better.
P0228,Jacket,Polyester,Red,73,0.34,145,Winter,Female,1.17,2023-02-17,13,Color fades after a few washes.
P0184,Hoodie,Wool,Green,47,0.1,181,Fall,Unisex,1.27,2023-09-08,9,Excellent stitching and finish.
P0093,Jacket,Fleece,Blue,187,0.21,324,Fall,Female,1.35,2024-09-16,6,"It's okay, nothing special."
P0255,Leggings,Fleece,White,188,0.16,303,Spring,Unisex,1.24,2024-04-17,15,Feels breathable and light.
P0005,Dress,Wool,Black,164,0.08,305,Fall,Unisex,1.11,2024-11-24,7,The color is vibrant and attractive.
P0177,Leggings,Polyester,Yellow,9,0.13,198,Winter,Female,1.09,2024-12-07,7,Feels breathable and light.
P0102,Sweatpants,Wool,Blue,330,0.06,361,Summer,Female,1.1,2023-08-31,4,Decent but could be better.
P0152,Shorts,Polyester,Red,82,0.13,256,Fall,Female,1.02,2024-11-05,11,Perfect fit and great quality.
P0026,Leggings,Wool,Black,51,0.23,126,Summer,Unisex,1.44,2023-08-24,15,The product arrived damaged.
P0098,Leggings,Polyester,Green,341,0.11,361,Fall,Male,1.04,2024-10-05,5,Nice design but size mismatch was an issue.
P0021,Hoodie,Wool,Red,257,0.35,323,Summer,Female,1.19,2024-08-16,8,The stitching quality could be better.
P0152,Hoodie,Wool,Green,18,0.22,115,Summer,Male,1.23,2023-07-25,15,Color fades after a few washes.
P0272,Leggings,Polyester,Green,158,0.03,233,Fall,Female,1.07,2023-09-21,5,"Comfortable fabric, however the color fades quickly."
P0174,Dress,Cotton,Grey,115,0.3,241,Spring,Male,1.27,2023-03-19,15,The product arrived damaged.
P0204,Dress,Spandex,Pink,278,0.17,412,Spring,Female,1.12,2023-04-03,11,Perfect fit and great quality.
P0064,Sweatpants,Polyester,Black,123,0.14,181,Summer,Female,1.16,2024-08-21,9,Color fades after a few washes.
P0056,Shorts,Fleece,Grey,125,0.13,188,Winter,Unisex,1.12,2023-01-26,15,Fabric feels rough and uncomfortable.
P0168,Leggings,Fleece,Blue,216,0.18,373,Fall,Female,1.39,2024-10-12,15,"Comfortable fabric, however the color fades quickly."
P0210,T-Shirt,Fleece,Red,210,0.05,340,Winter,Female,1.37,2023-02-08,10,Great color but the stitching could be better.
P0050,Jacket,Spandex,Green,240,0.06,428,Winter,Female,1.17,2024-02-02,6,Excellent stitching and finish.
